Title,Rating,Votes,Duration,Genre
Príncipe Lu e a Lenda do Dragão,4.2, 27,1h 30m,Adventure
Yasmeen's Element,7.6, 20,1h 16m,Adventure
Kade,6.7, 16,1h 32m,Adventure
Novogodniy ekspress,9.2, 6,47m,Adventure
Tur s Ivanushkami,5.3, 159,1h 51m,Adventure
The Ballad of Straw Hat Sam,9.2, 10,45m,Adventure
Bar MoskvaChiki,5.2, 102,1h 31m,Adventure
The Bigfoot Prophecy,4.8, 23,1h 57m,Adventure
LUDA,7.2, 6,1h 26m,Adventure
Tayna Chyornoy Ruki,5.7, 23,1h 24m,Adventure
Novyy god v Beryozovke,7.1, 99,1h 34m,Adventure
Tracing the Divide,8.8, 170,1h 24m,Adventure
Abar Arownne Din Ratri,8.0, 8,1h 51m,Adventure
Dracu Ra,5.5, 38,1h 46m,Adventure
Il ricercatore,5.8, 7,1h 11m,Adventure
A Christmas Carol,9.8, 11,39m,Adventure
Applepictures the Poseidon Legacy,6.4, 19,1h 24m,Adventure
No More Trouble - Cosa rimane di una tempesta,8.5, 19,1h 37m,Adventure
StarGazer: The Need of the Many,5.0, 9,47m,Adventure
Chyortov kamen,5.2, 14,1h 45m,Adventure
Dandelion,8.9, 9,1h 35m,Adventure
Kyle and the Last Emerald 2,8.4, 8,15m,Adventure
"Poymay sobaku, esli smozhesh",3.5, 36,1h 36m,Adventure
Moy lyubimyy chempion,2.4, 418,1h 35m,Adventure
Frankenstein Theater: The Magic Sword,4.4, 23,1h 22m,Adventure
Colour Palette,9.1, 31,1h 27m,Adventure
Lajjpal,9.0, 8,4h 12m,Adventure
The Blinkless,7.8, 12,59m,Adventure
YA - medved,5.0, 61,1h 37m,Adventure
Mesken (Messuage),7.5, 38,1h 42m,Adventure
Isle: Alpha One,8.4, 7,1h 37m,Adventure
Mukhadrakon,5.3, 18,1h 49m,Adventure
Skazochnyy patrul. Shou prodolzhayetsya,7.2, 11,1h 5m,Adventure
PW V: Tears of the Fallen,8.2, 11,1h,Adventure
Pirates & Slaves,5.8, 6,53m,Adventure
Turbozavry. God drakona,9.2, 43,48m,Adventure
Ngesot,4.8, 18,1h 27m,Adventure
Sehnsucht nach Firdaws,8.5, 6,1h 43m,Adventure
Let's Go! Anpanman: Baikinman and Lulun,6.5, 7,1h 4m,Adventure
Selebryata,3.8, 20,1h 33m,Adventure
Banana Boat,5.7, 20,1h 18m,Adventure
Boom!,8.3, 11,1h 30m,Adventure
Luccas e Gi em: Dinossauros,3.5, 27,1h 31m,Adventure
Whites Only: Ade's Extremist Adventure,7.0, 27,1h 5m,Adventure
I'm Professional,3.7, 8,1h 35m,Adventure
Gostya iz kosmosa,8.5, 6,1h 10m,Adventure
Okhota na russkogo geniya,5.3, 11,1h 11m,Adventure
Piri Reis: The Incredible Chart,6.9, 22,2h 18m,Adventure
Beyaz Zenciler: Yapim Asamasi,8.6, 5,55m,Adventure
The Kingfish 2,7.9, 10,1h 12m,Adventure
Mufasa: The Lion King,6.6, 64K,1h 58m,Animation
Moana 2,6.6, 102K,1h 40m,Animation
Flow,7.9, 75K,1h 25m,Animation
Paddington in Peru,6.7, 21K,1h 46m,Animation
The Wild Robot,8.2, 163K,1h 42m,Animation
Transformers One,7.6, 51K,1h 44m,Animation
Despicable Me 4,6.2, 66K,1h 34m,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 4.3K,1h 31m,Animation
Inside Out 2,7.5, 217K,1h 36m,Animation
The Lord of the Rings: The War of the Rohirrim,6.3, 31K,2h 14m,Animation
IF,6.4, 58K,1h 44m,Animation
Solo Leveling: ReAwakening,8.8, 12K,2h 1m,Animation
Kung Fu Panda 4,6.3, 68K,1h 34m,Animation
Memoir of a Snail,7.8, 17K,1h 35m,Animation
The Garfield Movie,5.7, 24K,1h 41m,Animation
Harold and the Purple Crayon,5.7, 8.4K,1h 30m,Animation
Attack on Titan the Movie: The Last Attack,9.2, 16K,2h 25m,Animation
Watchmen: Chapter I,7.1, 6.6K,1h 23m,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5, 35K,1h 22m,Animation
Spellbound,5.5, 7.4K,1h 49m,Animation
Night of the Zoopocalypse,6.0, 672,1h 31m,Animation
Spermageddon,5.7, 823,1h 20m,Animation
Look Back,7.8, 15K,58m,Animation
Hitpig,5.1, 946,1h 26m,Animation
Piece by Piece,6.9, 5.4K,1h 33m,Animation
Watchmen: Chapter II,7.0, 3.1K,1h 30m,Animation
Thelma the Unicorn,5.7, 3K,1h 33m,Animation
