Title,Rating,Votes,Duration,Genre
Murder and Cocktails,3.9, 363,1h 28m,Mystery
Passages of Nexus,5.6, 262,1h 48m,Mystery
Dismissed,8.7, 63,1h 31m,Mystery
Transamazonia,6.2, 67,1h 52m,Mystery
Campton Manor,3.4, 229,1h 23m,Mystery
Dirty Boy,8.5, 20,1h 38m,Mystery
You Are Not Alone,6.2, 69,1h 45m,Mystery
Kizumonogatari: Koyomi Vamp,7.0, 91,2h 24m,Mystery
Solvent,7.4, 390,1h 34m,Mystery
Hunting Daze,6.2, 459,1h 19m,Mystery
The Yin Yang Master Zero,5.7, 275,1h 52m,Mystery
First Nights at Freddy's,9.3, 16,1h 38m,Mystery
Partners,4.8, 119,1h 50m,Mystery
Perewangan,5.5, 150,1h 49m,Mystery
To Kill a Wolf,8.9, 36,1h 32m,Mystery
Drive,5.6, 335,1h 30m,Mystery
Hunters on a White Field,4.9, 455,1h 40m,Mystery
Kondal,5.4, 775,2h 27m,Mystery
Clownface 3,9.0, 36,1h 44m,Mystery
The Birthday Boy,8.2, 3K,1h 58m,Mystery
Burning Butterflies,8.5, 74,1h 43m,Mystery
The Epidemic,5.7, 72,1h 35m,Mystery
Lunacy,5.0, 62,1h 17m,Mystery
The Private Eye,3.7, 135,1h 55m,Mystery
Daft State,6.3, 46,18+,Mystery
Andhagan,6.6, 1.2K,2h 22m,Mystery
Shark Island,3.2, 115,1h 21m,Mystery
The American Backyard,6.2, 161,1h 47m,Mystery
Simbaa,5.8, 2.2K,2h 1m,Mystery
"Silent Night, Bloody Night 3: Descent",3.3, 194,1h 40m,Mystery
Dark Feathers: Dance of the Geisha,5.9, 853,1h 33m,Mystery
Memes & Nightmares,5.7, 86,1h 21m,Mystery
Don't Look Back... I Know Your Origins,4.4, 83,1h 44m,Mystery
Inti Number 13,7.7, 1.1K,2h 7m,Mystery
Live or Dead: The García File,6.4, 91,1h 24m,Mystery
Scopophobia,5.9, 54,1h 40m,Mystery
You Will Die in 6 Hours,4.9, 284,1h 31m,Mystery
Bato: Road to Death,5.4, 773,2h 17m,Mystery
Tell No Lies,5.1, 246,1h 44m,Mystery
Amp House Massacre,3.8, 188,1h 20m,Mystery
Buying Time,6.3, 442,1h 24m,Mystery
Guess Who,4.8, 367,1h 33m,Mystery
9 Windows,3.6, 310,1h 22m,Mystery
The Backrooms,6.8, 9,1h 3m,Mystery
Carnage for Christmas,4.5, 342,1h 9m,Mystery
The Land of Morning Calm,6.2, 26,1h 53m,Mystery
Huggin Molly,6.0, 80,54m,Mystery
Agastya - Chapter 1,6.9, 597,2h 48m,Mystery
Sam and Colby: The Legends of the Paranormal,4.8, 307,1h 38m,Mystery
Teddiscare,2.1, 163,1h 22m,Mystery
At Her Feet,7.4, 43,1h 40m,Mystery
Vertical,5.2, 134,1h 51m,Mystery
The Shadow,6.5, 263,1h 30m,Mystery
DNA,5.1, 210,2h 36m,Mystery
The Last Chainsaw Massacre,3.7, 42,1h 15m,Mystery
Tenant,4.0, 212,1h 39m,Mystery
House of Lies,3.8, 185,1h 22m,Mystery
Snow Valley,2.8, 342,1h 15m,Mystery
Dead Man,5.1, 206,1h 49m,Mystery
Its Name Was Mormo,3.7, 115,1h 33m,Mystery
The Unseen Sister,6.4, 930,1h 52m,Mystery
A Stranger's Child,5.3, 132,1h 28m,Mystery
Secret,3.8, 761,1h 59m,Mystery
Unknown Caller,7.0, 29,1h 3m,Mystery
Morena,6.8, 106,1h 46m,Mystery
Pogumidam Vegu Thooramillai,7.3, 3.9K,2h 13m,Mystery
Like Aani Subscribe,7.3, 6.2K,2h 20m,Mystery
This Land of Mine,5.7, 11,1h 30m,Mystery
